Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
WHR,"Whirlpool Corp",194.02,-3.68,-1.86%,200.3,194,554300,03/02/21
WLTW,"Willis Towers WT",227.11,0.39,+0.17%,229.45,224.95,814400,03/02/21
WM,"Waste Management",114.33,1.85,+1.64%,114.5,111.83,3245000,03/02/21
WMB,"Williams Companies",23.72,0.13,+0.55%,23.95,23.54,6193700,03/02/21
WMT,"Wal-Mart Stores",130.11,-1.26,-0.96%,132.75,130.01,9740700,03/02/21
WRB,"W.R. Berkley Corp",70.48,0.35,+0.50%,71.25,69.91,654800,03/02/21
WRK,"Westrock Company",46.77,0.6,+1.30%,47.67,45.96,5008400,03/02/21
WST,"West Pharmaceutical Services",278.1,-4.89,-1.73%,284.98,277.26,323900,03/02/21
WU,"Western Union Company",23.68,0,0.00%,23.91,23.56,3191300,03/02/21
WY,"Weyerhaeuser Company",33.79,-1.27,-3.62%,35,33.78,5818800,03/02/21
WYNN,"Wynn Resorts Ltd",133,1.21,+0.92%,135.19,131.85,1429000,03/02/21
XEL,"XCEL Energy Inc",58.98,-0.17,-0.29%,59.42,58.2,3241300,03/02/21
XLNX,"Xilinx Inc",129.95,-3.84,-2.87%,134.41,129.82,1726400,03/02/21
XOM,"Exxon Mobil Corp",56.07,-0.33,-0.59%,56.96,56.02,30295900,03/02/21
XRAY,"Dentsply Sirona Inc",59.27,-0.44,-0.74%,60.41,58.61,2470500,03/02/21
XRX,"Xerox Corp",25.82,0.05,+0.19%,26.12,25.58,1889600,03/02/21
XYL,"Xylem Inc",101.96,-0.27,-0.26%,102.73,101.37,873000,03/02/21
YUM,"Yum! Brands",104.74,0.23,+0.22%,105.49,103.72,2450700,03/02/21
ZBH,"Zimmer Biomet Holdings",161.19,-2.21,-1.35%,163.71,160.19,1370700,03/02/21
ZBRA,"Zebra Technologies",501.62,-9.86,-1.93%,516.78,498.38,263900,03/02/21
ZION,"Zions Bancorp",54.24,-0.55,-1.00%,55.02,54.05,1027900,03/02/21
ZTS,"Zoetis Inc Cl A",157.05,-0.64,-0.41%,159.55,155.53,2039500,03/02/21
"Downloaded from Barchart.com as of 03-02-2021 07:47pm CST"
